State,County Name,"Median
Home Price
Q4 2021","Monthly
Payment
Q4 2021","Monthly
Payment
Q4 2020",Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,Population,,
Arkansas,Fulton County,103226,396,335,$432 ,$493 ,$649 ,$877 ,"$1,111 ","12,477",,
Arkansas,Garland County,174734,670,549,$589 ,$613 ,$807 ,"$1,006 ","$1,352 ","99,386",,
Arkansas,Grant County,150367,576,484,$627 ,$647 ,$739 ,$923 ,"$1,002 ","18,265",,
Arkansas,Greene County,141935,544,461,$513 ,$607 ,$692 ,$983 ,"$1,056 ","45,325",,
Arkansas,Hempstead County,96894,371,315,$516 ,$530 ,$697 ,$867 ,"$1,131 ","21,532",,
Arkansas,Hot Spring County,115532,443,375,$478 ,$511 ,$672 ,$881 ,"$1,109 ","33,771",,
Arkansas,Howard County,114576,439,372,$456 ,$536 ,$649 ,$816 ,$880 ,"13,202",,
Arkansas,Independence County,118160,453,384,$481 ,$493 ,$649 ,$823 ,$880 ,"37,825",,
Arkansas,Izard County,98805,379,321,$481 ,$493 ,$649 ,$837 ,$880 ,"13,629",,
Arkansas,Jackson County,79570,305,258,$490 ,$493 ,$649 ,$802 ,$928 ,"16,719",,
Arkansas,Jefferson County,92611,355,310,$563 ,$578 ,$760 ,$950 ,"$1,097 ","66,824",,
Arkansas,Johnson County,123656,474,402,$493 ,$505 ,$665 ,$883 ,$902 ,"26,578",,
Arkansas,Lafayette County,77180,296,251,$481 ,$493 ,$649 ,$808 ,$928 ,"6,624",,
Arkansas,Lawrence County,91756,352,298,$481 ,$493 ,$649 ,$849 ,"$1,007 ","16,406",,
Arkansas,Lee County,88411,339,287,$481 ,$493 ,$649 ,$922 ,$928 ,"8,857",,
Arkansas,Lincoln County,86596,332,290,$563 ,$578 ,$760 ,$950 ,"$1,097 ","13,024",,
Arkansas,Little River County,93070,357,302,$490 ,$493 ,$649 ,$922 ,"$1,111 ","12,259",,
Arkansas,Logan County,118279,453,384,$444 ,$570 ,$649 ,$894 ,$899 ,"21,466",,
Arkansas,Lonoke County,185364,711,597,$706 ,$728 ,$833 ,"$1,118 ","$1,330 ","73,309",,
Arkansas,Madison County,158081,606,473,$658 ,$695 ,$865 ,"$1,229 ","$1,481 ","16,576",,
Arkansas,Marion County,144205,553,468,$482 ,$495 ,$651 ,$805 ,$917 ,"16,694",,
Arkansas,Miller County,129351,496,424,$669 ,$670 ,$838 ,"$1,046 ","$1,344 ","43,257",,
Arkansas,Mississippi County,100956,387,328,$476 ,$505 ,$649 ,$850 ,$880 ,"40,651",,
Arkansas,Monroe County,73357,281,238,$432 ,$493 ,$649 ,$881 ,$884 ,"6,701",,
Arkansas,Montgomery County,122819,471,399,$481 ,$570 ,$649 ,$916 ,"$1,111 ","8,986",,
Arkansas,Nevada County,79211,304,257,$536 ,$550 ,$724 ,$895 ,"$1,035 ","8,252",,
Arkansas,Newton County,137037,525,445,$481 ,$493 ,$649 ,$862 ,$928 ,"7,753",,
Arkansas,Ouachita County,89964,345,292,$560 ,$567 ,$649 ,$877 ,$880 ,"23,382",,
Arkansas,Perry County,128283,492,413,$706 ,$728 ,$833 ,"$1,118 ","$1,330 ","10,455",,
Arkansas,Phillips County,84468,324,274,$432 ,$493 ,$649 ,$920 ,"$1,111 ","17,782",,
Arkansas,Pike County,101434,389,330,$521 ,$524 ,$649 ,$838 ,"$1,018 ","10,718",,
Arkansas,Poinsett County,92924,356,304,$490 ,$493 ,$649 ,$802 ,$894 ,"23,528",,
Arkansas,Polk County,118638,455,385,$441 ,$505 ,$664 ,$821 ,"$1,048 ","19,964",,
Arkansas,Pope County,151015,579,491,$458 ,$539 ,$690 ,$975 ,"$1,020 ","64,072",,
Arkansas,Prairie County,80526,309,262,$487 ,$500 ,$658 ,$813 ,$941 ,"8,062",,
Arkansas,Pulaski County,190554,730,614,$706 ,$728 ,$833 ,"$1,118 ","$1,330 ","391,911",,
Arkansas,Randolph County,104182,399,338,$542 ,$545 ,$649 ,$873 ,"$1,111 ","17,958",,
Arkansas,St. Francis County,77180,296,251,$706 ,$728 ,$833 ,"$1,118 ","$1,330 ","24,994",,
Arkansas,Saline County,207449,795,668,$481 ,$493 ,$649 ,$811 ,$928 ,"122,437",,
Arkansas,Scott County,91159,349,296,$481 ,$497 ,$649 ,$852 ,$928 ,"10,281",,
Arkansas,Searcy County,123656,474,402,$559 ,$562 ,$740 ,"$1,031 ","$1,165 ","7,881",,
Arkansas,Sebastian County,171334,657,541,$481 ,$570 ,$649 ,$843 ,$909 ,"127,827",,
Arkansas,Sevier County,100717,386,327,$471 ,$511 ,$649 ,$802 ,"$1,001 ","17,007",,
Arkansas,Sharp County,96416,370,313,$505 ,$508 ,$649 ,$922 ,"$1,016 ","17,442",,
Arkansas,Stone County,144683,555,470,$481 ,$493 ,$649 ,$893 ,$928 ,"12,506",,
Arkansas,Union County,103345,396,336,$586 ,$594 ,$680 ,$966 ,"$1,035 ","38,682",,
Arkansas,Van Buren County,121505,466,395,$461 ,$517 ,$680 ,$841 ,$922 ,"16,545",,
Arkansas,Washington County,251695,965,754,$658 ,$695 ,$865 ,"$1,229 ","$1,481 ","239,187",,
Arkansas,White County,148029,567,481,$448 ,$538 ,$675 ,$926 ,"$1,155 ","78,753",,
Arkansas,Woodruff County,79331,304,258,$481 ,$493 ,$649 ,$814 ,$928 ,"6,320",,
Arkansas,Yell County,130705,501,425,$533 ,$536 ,$649 ,$865 ,$939 ,"21,341",,
California,Alameda County,891734,3418,2974,"$1,538 ","$1,854 ","$2,274 ","$3,006 ","$3,578 ","1,671,329",,
California,Alpine County,456617,1750,1424,$725 ,$822 ,"$1,073 ","$1,524 ","$1,705 ","1,129",,
California,Amador County,392119,1503,1223,$920 ,$926 ,"$1,148 ","$1,631 ","$1,965 ","39,752",,
California,Butte County,402451,1543,1300,$826 ,$895 ,"$1,177 ","$1,662 ","$2,015 ","219,186",,
California,Calaveras County,399368,1531,1245,$739 ,$857 ,"$1,094 ","$1,554 ","$1,785 ","45,905",,
California,Colusa County,331495,1271,1034,$713 ,$717 ,$944 ,"$1,341 ","$1,506 ","21,547",,
California,Contra Costa County,695110,2665,2319,"$1,538 ","$1,854 ","$2,274 ","$3,006 ","$3,578 ","1,153,526",,
California,Del Norte County,273495,1048,853,$651 ,$831 ,$980 ,"$1,355 ","$1,677 ","27,812",,
California,El Dorado County,647972,2484,1982,"$1,108 ","$1,228 ","$1,543 ","$2,192 ","$2,625 ","192,843",,
California,Fresno County,371689,1425,1135,$899 ,$904 ,"$1,137 ","$1,607 ","$1,847 ","999,101",,
California,Glenn County,291495,1117,909,$627 ,$717 ,$944 ,"$1,167 ","$1,280 ","28,393",,
California,Humboldt County,434993,1667,1357,$741 ,$862 ,"$1,112 ","$1,580 ","$1,903 ","135,558",,
California,Imperial County,290011,1112,905,$716 ,$815 ,"$1,065 ","$1,486 ","$1,793 ","181,215",,
California,Inyo County,336369,1289,1049,$754 ,$874 ,"$1,077 ","$1,530 ","$1,712 ","18,039",,
California,Kern County,303760,1164,937,$763 ,$772 ,"$1,013 ","$1,439 ","$1,734 ","900,202",,
California,Kings County,319787,1226,982,$924 ,$930 ,"$1,162 ","$1,651 ","$1,799 ","152,940",,
California,Lake County,318995,1223,995,$678 ,$776 ,"$1,021 ","$1,450 ","$1,544 ","64,386",,
California,Lassen County,253746,973,791,$623 ,$712 ,$937 ,"$1,331 ","$1,372 ","30,573",,
California,Los Angeles County,791389,3034,2493,"$1,384 ","$1,604 ","$2,044 ","$2,693 ","$2,933 ","10,039,107",,
California,Madera County,378596,1451,1179,$913 ,$919 ,"$1,198 ","$1,702 ","$1,870 ","157,327",,
California,Marin County,1090583,4181,3638,"$2,115 ","$2,631 ","$3,198 ","$4,111 ","$4,473 ","258,826",,
California,Mariposa County,344619,1321,1075,$718 ,$808 ,"$1,063 ","$1,423 ","$1,819 ","17,203",,
California,Mendocino County,538741,2065,1680,$945 ,$954 ,"$1,245 ","$1,729 ","$2,131 ","86,749",,
California,Merced County,367220,1408,1114,$766 ,$914 ,"$1,120 ","$1,591 ","$1,917 ","277,680",,
California,Modoc County,175747,674,548,$605 ,$609 ,$801 ,"$1,047 ","$1,273 ","8,841",,
California,Mono County,390619,1497,1218,"$1,009 ","$1,045 ","$1,319 ","$1,829 ","$2,096 ","14,444",,
California,Monterey County,749485,2873,2346,"$1,533 ","$1,616 ","$1,967 ","$2,794 ","$3,081 ","434,061",,
California,Napa County,811140,3109,2566,"$1,438 ","$1,645 ","$2,164 ","$2,924 ","$2,935 ","137,744",,
California,Nevada County,606240,2324,1891,$921 ,$993 ,"$1,307 ","$1,857 ","$2,037 ","99,755",,
California,Orange County,890912,3415,2806,"$1,716 ","$1,905 ","$2,324 ","$3,178 ","$3,674 ","3,175,692",,
California,Placer County,690181,2646,2111,"$1,108 ","$1,228 ","$1,543 ","$2,192 ","$2,625 ","398,329",,
California,Plumas County,302870,1161,945,$608 ,$716 ,$915 ,"$1,300 ","$1,566 ","18,807",,
California,Riverside County,508610,1950,1522,"$1,062 ","$1,202 ","$1,509 ","$2,065 ","$2,542 ","2,470,546",,
California,Sacramento County,503663,1931,1541,"$1,108 ","$1,228 ","$1,543 ","$2,192 ","$2,625 ","1,552,058",,
California,San Benito County,608870,2334,2015,"$1,096 ","$1,253 ","$1,649 ","$2,342 ","$2,822 ","62,808",,
California,San Bernardino County,489425,1876,1464,"$1,062 ","$1,202 ","$1,509 ","$2,065 ","$2,542 ","2,180,085",,
California,San Diego County,788902,3024,2421,"$1,573 ","$1,739 ","$2,232 ","$3,099 ","$3,795 ","3,338,330",,
California,San Francisco County,1230797,4718,4105,"$2,115 ","$2,631 ","$3,198 ","$4,111 ","$4,473 ","881,549",,
California,San Joaquin County,512193,1963,1517,$891 ,$992 ,"$1,305 ","$1,854 ","$2,234 ","762,148",,
California,San Luis Obispo County,776339,2976,2439,"$1,308 ","$1,436 ","$1,890 ","$2,685 ","$3,047 ","283,111",,
California,San Mateo County,1247073,4781,4160,"$2,115 ","$2,631 ","$3,198 ","$4,111 ","$4,473 ","766,573",,
California,Santa Barbara County,729816,2798,2260,"$1,875 ","$2,157 ","$2,516 ","$3,316 ","$3,790 ","446,499",,
California,Santa Clara County,1253400,4805,4148,"$2,145 ","$2,418 ","$2,868 ","$3,687 ","$4,213 ","1,927,852",,
California,Santa Cruz County,1009668,3870,3130,"$2,085 ","$2,385 ","$3,138 ","$4,000 ","$4,458 ","273,213",,
California,Shasta County,355559,1363,1102,$834 ,$954 ,"$1,255 ","$1,783 ","$2,148 ","180,080",,
California,Sierra County,289245,1109,902,$754 ,$855 ,"$1,114 ","$1,593 ","$1,767 ","3,005",,
California,Siskiyou County,248621,953,775,$682 ,$701 ,$922 ,"$1,310 ","$1,358 ","43,539",,
California,Solano County,576479,2210,1790,"$1,232 ","$1,408 ","$1,677 ","$2,382 ","$2,870 ","447,643",,
California,Sonoma County,762839,2924,2511,"$1,373 ","$1,549 ","$2,038 ","$2,851 ","$3,163 ","494,336",,
California,Stanislaus County,440563,1689,1347,$936 ,"$1,001 ","$1,250 ","$1,761 ","$2,063 ","550,660",,
California,Sutter County,405510,1554,1234,$920 ,$926 ,"$1,173 ","$1,666 ","$2,008 ","96,971",,
California,Tehama County,304370,1167,949,$682 ,$722 ,$950 ,"$1,270 ","$1,495 ","65,084",,
California,Trinity County,359619,1379,1121,$592 ,$670 ,$877 ,"$1,246 ","$1,394 ","12,285",,
California,Tulare County,313750,1203,964,$746 ,$764 ,"$1,005 ","$1,405 ","$1,629 ","466,195",,
California,Tuolumne County,361494,1386,1127,$752 ,$860 ,"$1,132 ","$1,556 ","$1,938 ","54,478",,
California,Ventura County,774268,2968,2438,"$1,507 ","$1,792 ","$2,218 ","$3,101 ","$3,655 ","846,006",,
California,Yolo County,605764,2322,1853,"$1,212 ","$1,280 ","$1,684 ","$2,353 ","$2,843 ","220,500",,
California,Yuba County,374758,1437,1140,$920 ,$926 ,"$1,173 ","$1,666 ","$2,008 ","78,668",,
Colorado,Adams County,452022,1733,1396,"$1,236 ","$1,364 ","$1,659 ","$2,226 ","$2,501 ","517,421",,
Colorado,Alamosa County,200067,767,615,$731 ,$736 ,$968 ,"$1,210 ","$1,657 ","16,233",,
Colorado,Arapahoe County,517298,1983,1597,"$1,236 ","$1,364 ","$1,659 ","$2,226 ","$2,501 ","656,590",,
Colorado,Archuleta County,399372,1531,1228,$881 ,$901 ,"$1,185 ","$1,529 ","$2,028 ","14,029",,
Colorado,Baca County,106067,407,326,$602 ,$606 ,$757 ,"$1,075 ","$1,216 ","3,581",,
Colorado,Bent County,102892,394,316,$686 ,$690 ,$877 ,"$1,084 ","$1,189 ","5,577",,
Colorado,Boulder County,715517,2743,2260,"$1,284 ","$1,449 ","$1,748 ","$2,352 ","$2,786 ","326,196",,
Colorado,Broomfield County,606140,2324,1872,"$1,236 ","$1,364 ","$1,659 ","$2,226 ","$2,501 ","70,465",,
Colorado,Chaffee County,454501,1742,1398,$714 ,$943 ,"$1,074 ","$1,360 ","$1,725 ","20,356",,
